mill zaqal.runMain zaqal.ZaqalTest
77] zaqal.runMain
[warn] home/emerald/zaqal/src/main/scala/zaqal/frontend/ICache.scala 60:55: [W004] Dynamic index with width 8 is too wide for Vec of size 128 (expected index width 7).
[warn] There were 1 warning(s) during hardware elaboration.
--- Starting ZAQAL Agile V1.0 Simulation ---
CORE EXECUTE: pc=000000008000013c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000080000140 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000080000144 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000080000148 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000008000014c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000080000150 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000080000154 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000080000158 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000008000015c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000080000160 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000080000164 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000080000168 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000008000016c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000080000170 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
--- Simulation Finished. CSV generated: ftq_dump.csv ---
77/77, SUCCESS] mill zaqal.runMain zaqal.ZaqalTest -12s
